Model,TechNode,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Operations,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,DRAM_to_Xbar,Xbar_to_ADC,OutputStationary,PE_to_Output,Weight_to_PE,ADC_to_GB,PE_to_Register,Register_to_PE
densenet40,45,128,2,OS,QConv2d_133428015702640,4.5e-05,1e-06,1572864,197256,1572864,98628,65752,19725,0,0,1572864,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428019791152,3.4e-05,1e-06,3145728,1574016,3145728,787008,524672,157401,0,0,3145728,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015697024,3.3e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015703456,3.3e-05,1e-06,3145728,2361024,3145728,1180512,787008,236102,0,0,3145728,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015703648,1.5e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015704176,3.5e-05,1e-06,3145728,3148032,3145728,1574016,1049344,314803,0,0,3145728,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015704368,1.5e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015704944,3.3e-05,1e-06,3145728,3935040,3145728,1967520,1311680,393504,0,0,3145728,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015705136,2.9e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015705280,3.2e-05,1e-06,3145728,4722048,3145728,2361024,1574016,472204,0,0,3145728,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015701776,1.4e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015705808,3.4e-05,1e-06,3145728,5509056,3145728,2754528,1836352,550905,0,0,3145728,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015706000,1.4e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015706864,3.2e-05,1e-06,3145728,6296064,3145728,3148032,2098688,629606,0,0,3145728,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015707344,1.4e-05,0.0,786432,788736,786432,394368,262912,78873,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015707536,8e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015708064,1.4e-05,0.0,786432,985920,786432,492960,328640,98592,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015708256,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015708832,1.4e-05,0.0,786432,1183104,786432,591552,394368,118310,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015709024,8e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015709552,2.2e-05,0.0,786432,1380288,786432,690144,460096,138028,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015709744,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015972528,1.5e-05,0.0,786432,1577472,786432,788736,525824,157747,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015972720,8e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015973200,1.4e-05,0.0,786432,1774656,786432,887328,591552,177465,0,0,786432,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015973392,8e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015974256,1.6e-05,0.0,983040,1973280,983040,986640,657760,197328,0,0,983040,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015974784,8e-06,0.0,196608,248640,196608,124320,82880,24864,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015974976,6e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,49152,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015975552,7e-06,0.0,196608,298368,196608,149184,99456,29836,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015975744,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,49152,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015976320,8e-06,0.0,196608,348096,196608,174048,116032,34809,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015976512,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,49152,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015977088,8e-06,0.0,196608,397824,196608,198912,132608,39782,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015977280,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,49152,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015977856,7e-06,0.0,196608,447552,196608,223776,149184,44755,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015978048,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,49152,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015978624,7e-06,0.0,196608,497280,196608,248640,165760,49728,0,0,196608,0,0,0,0,0
densenet40,45,128,2,OS,QConv2d_133428015978816,7e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,49152,0,0,0,0,0
densenet40,45,128,2,OS,QLinear_133428015979632,1.4e-05,0.0,640,9768,640,4884,3256,976,0,0,640,0,0,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328619072,3e-05,1e-06,1572864,197256,1572864,98628,65752,19725,0,0,0,1572864,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328613696,3.2e-05,1e-06,3145728,1574016,3145728,787008,524672,157401,0,0,0,3145728,1572864,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328619552,3e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,786432,3145728,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328620416,3.1e-05,1e-06,3145728,2361024,3145728,1180512,787008,236102,0,0,0,3145728,2359296,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328620608,1.3e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,786432,3145728,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328621184,3.2e-05,1e-06,3145728,3148032,3145728,1574016,1049344,314803,0,0,0,3145728,3145728,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328621376,1.3e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,786432,3145728,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328621952,3.1e-05,1e-06,3145728,3935040,3145728,1967520,1311680,393504,0,0,0,3145728,3932160,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328622144,3.2e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,786432,3145728,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328622288,3.4e-05,1e-06,3145728,4722048,3145728,2361024,1574016,472204,0,0,0,3145728,4718592,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328618784,1.2e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,786432,3145728,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328622816,4.3e-05,1e-06,3145728,5509056,3145728,2754528,1836352,550905,0,0,0,3145728,5505024,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328623008,1.2e-05,0.0,786432,3150912,786432,1575456,1050304,315091,0,0,0,786432,3145728,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328623776,3.1e-05,1e-06,3145728,6296064,3145728,3148032,2098688,629606,0,0,0,3145728,6291456,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328624208,1.4e-05,0.0,786432,788736,786432,394368,262912,78873,0,0,0,786432,786432,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328624400,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328624976,1.3e-05,0.0,786432,985920,786432,492960,328640,98592,0,0,0,786432,983040,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328625168,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328625696,1.4e-05,0.0,786432,1183104,786432,591552,394368,118310,0,0,0,786432,1179648,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328625888,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328626464,1.4e-05,0.0,786432,1380288,786432,690144,460096,138028,0,0,0,786432,1376256,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328626656,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328889392,1.4e-05,0.0,786432,1577472,786432,788736,525824,157747,0,0,0,786432,1572864,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328889584,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328890160,1.4e-05,0.0,786432,1774656,786432,887328,591552,177465,0,0,0,786432,1769472,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328890352,8e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,196608,786432,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328891216,1.5e-05,0.0,983040,1973280,983040,986640,657760,197328,0,0,0,983040,1966080,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328891744,7e-06,0.0,196608,248640,196608,124320,82880,24864,0,0,0,196608,245760,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328891936,6e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328892512,7e-06,0.0,196608,298368,196608,149184,99456,29836,0,0,0,196608,294912,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328892704,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328893232,7e-06,0.0,196608,348096,196608,174048,116032,34809,0,0,0,196608,344064,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328893424,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328894000,7e-06,0.0,196608,397824,196608,198912,132608,39782,0,0,0,196608,393216,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328894192,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328894768,7e-06,0.0,196608,447552,196608,223776,149184,44755,0,0,0,196608,442368,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328894960,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328895440,7e-06,0.0,196608,497280,196608,248640,165760,49728,0,0,0,196608,491520,0,0,0
densenet40,22,64,2,WS,QConv2d_127611328895632,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,49152,196608,0,0,0
densenet40,22,64,2,WS,QLinear_127611328896448,4e-06,0.0,640,9768,640,4884,3256,976,0,0,0,640,8448,0,0,0
