Model,TechNode,BatchSize,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,PE_to_PE,GB_to_PE,DRAM_to_GB
resnet18,7,64,128,1,OS,QConv2d_131488521294848,5e-06,2e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,7,64,128,1,OS,QConv2d_131488521124176,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,128,1,OS,QConv2d_131488520967024,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,128,1,OS,QConv2d_131488521293888,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,128,1,OS,QConv2d_131488521293936,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,128,1,OS,QConv2d_131488521293072,2e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,7,64,128,1,OS,QConv2d_131488521292640,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,128,1,OS,QConv2d_131488521293792,2e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,7,64,128,1,OS,QConv2d_131488521292304,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,128,1,OS,QConv2d_131488521295568,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,128,1,OS,QConv2d_131488521296000,1e-06,1e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,7,64,128,1,OS,QConv2d_131488521296144,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,128,1,OS,QConv2d_131488521295664,1e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,7,64,128,1,OS,QConv2d_131488521296336,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,128,1,OS,QConv2d_131488521296480,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,128,1,OS,QConv2d_131488521296960,1e-06,0.0,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,7,64,128,1,OS,QConv2d_131488521297104,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,128,1,OS,QConv2d_131488521296576,1e-06,0.0,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,7,64,128,1,OS,QConv2d_131488521297296,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,128,1,OS,QConv2d_131488521297440,1e-06,0.0,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,128,1,OS,QLinear_131488521297728,1e-06,0.0,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,45,64,256,2,WS,QConv2d_133663894001504,4e-06,2e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,45,64,256,2,WS,QConv2d_133664089714912,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,45,64,256,2,WS,QConv2d_133663895042528,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,45,64,256,2,WS,QConv2d_133663894000976,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,45,64,256,2,WS,QConv2d_133663894000496,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,45,64,256,2,WS,QConv2d_133663893999728,2e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,45,64,256,2,WS,QConv2d_133663893999680,2e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,256,2,WS,QConv2d_133663894000592,2e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,45,64,256,2,WS,QConv2d_133663893999344,2e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,256,2,WS,QConv2d_133663893998912,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,45,64,256,2,WS,QConv2d_133663894002560,1e-06,1e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,45,64,256,2,WS,QConv2d_133663894002704,2e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,256,2,WS,QConv2d_133663894002176,1e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,45,64,256,2,WS,QConv2d_133663894002896,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,256,2,WS,QConv2d_133663894003040,2e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,45,64,256,2,WS,QConv2d_133663894003520,1e-06,1e-06,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,45,64,256,2,WS,QConv2d_133663894003664,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,256,2,WS,QConv2d_133663894003136,1e-06,0.0,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,45,64,256,2,WS,QConv2d_133663894003856,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,256,2,WS,QConv2d_133663894004000,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,45,64,256,2,WS,QLinear_133663894004240,1e-06,0.0,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,7,64,64,2,IMC,QConv2d_130115276773600,2.1e-05,1.1e-05,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,7,64,64,2,IMC,QConv2d_130115277617872,1.6e-05,8e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,64,2,IMC,QConv2d_130115280867536,1.3e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,64,2,IMC,QConv2d_130115276773744,1.4e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,64,2,IMC,QConv2d_130115276772592,1.4e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,64,2,IMC,QConv2d_130115276772064,2.2e-05,1.1e-05,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,7,64,64,2,IMC,QConv2d_130115276771920,1.1e-05,5e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,64,2,IMC,QConv2d_130115430779648,1.3e-05,7e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,7,64,64,2,IMC,QConv2d_130115276771632,1.4e-05,7e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,64,2,IMC,QConv2d_130115276771248,1.2e-05,6e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,64,2,IMC,QConv2d_130115276774608,9e-06,4e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,7,64,64,2,IMC,QConv2d_130115276774752,1.3e-05,6e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,64,2,IMC,QConv2d_130115276771056,1.1e-05,6e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,7,64,64,2,IMC,QConv2d_130115276774944,1.3e-05,6e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,64,2,IMC,QConv2d_130115276775088,1.1e-05,6e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,64,2,IMC,QConv2d_130115276775568,1e-05,5e-06,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,7,64,64,2,IMC,QConv2d_130115276775712,9e-06,5e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,64,2,IMC,QConv2d_130115276775184,1e-05,5e-06,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,7,64,64,2,IMC,QConv2d_130115276775904,9e-06,4e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,64,2,IMC,QConv2d_130115276776048,9e-06,5e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,64,2,IMC,QLinear_130115276776336,8e-06,4e-06,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,7,64,256,1,WS,QConv2d_130033913534064,1e-06,1e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,7,64,256,1,WS,QConv2d_130033913191488,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,256,1,WS,QConv2d_130033913533488,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,256,1,WS,QConv2d_130033913533200,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,256,1,WS,QConv2d_130033913532864,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,256,1,WS,QConv2d_130033913532192,1e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,7,64,256,1,WS,QConv2d_130033913531760,2e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,256,1,WS,QConv2d_130033913532672,1e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,7,64,256,1,WS,QConv2d_130033913531424,1e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,256,1,WS,QConv2d_130033913534784,2e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,256,1,WS,QConv2d_130033913535264,1e-06,1e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,7,64,256,1,WS,QConv2d_130033913535408,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,256,1,WS,QConv2d_130033913534880,1e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,7,64,256,1,WS,QConv2d_130033913535600,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,256,1,WS,QConv2d_130033913535744,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,256,1,WS,QConv2d_130033913536224,1e-06,0.0,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,7,64,256,1,WS,QConv2d_130033913536368,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,256,1,WS,QConv2d_130033913535840,1e-06,1e-06,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,7,64,256,1,WS,QConv2d_130033913536560,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,256,1,WS,QConv2d_130033913536704,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,256,1,WS,QLinear_130033913536944,1e-06,1e-06,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,22,64,256,2,IMC,QConv2d_137915962906224,1.8e-05,9e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,22,64,256,2,IMC,QConv2d_137915963937648,1.4e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,IMC,QConv2d_137915962906368,1.3e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,IMC,QConv2d_137915962905408,1.3e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,IMC,QConv2d_137915962905072,1.4e-05,7e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,IMC,QConv2d_137915962904400,1.3e-05,6e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,22,64,256,2,IMC,QConv2d_137915962903968,1.1e-05,6e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,IMC,QConv2d_137915963939712,1.3e-05,7e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,22,64,256,2,IMC,QConv2d_137915962903632,1.3e-05,7e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,IMC,QConv2d_137915962906944,1.2e-05,6e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,22,64,256,2,IMC,QConv2d_137915962907424,1.2e-05,6e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,22,64,256,2,IMC,QConv2d_137915962907568,1.3e-05,7e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,IMC,QConv2d_137915962907040,1.2e-05,6e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,22,64,256,2,IMC,QConv2d_137915962907760,1.2e-05,6e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,IMC,QConv2d_137915962907904,1.1e-05,6e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,22,64,256,2,IMC,QConv2d_137915962908384,1.1e-05,5e-06,4390912,1605632,2195456,1463637,439091,401408,802816,267605
