Model,TechNode,Subarray,MemCell,Dataflow,Latency_total,Energy_total,Throughput,Memory_Usage_MB
densenet40,45,128,2,OS,1.141051,1.7e-05,56.09,630.49
densenet40,22,64,2,WS,1.07285,1.5e-05,59.65,584.38
densenet40,45,256,2,RS,1.080321,2.2e-05,59.24,630.83
densenet40,7,128,1,WS,1.067209,1.5e-05,59.97,630.69
densenet40,22,256,2,IMC,1.039321,0.000293,61.58,582.12
densenet40,22,256,1,RS,0.869133,2.2e-05,73.64,645.69
densenet40,22,256,2,OS,1.148248,1.7e-05,55.74,584.58
densenet40,7,128,2,RS,1.09771,2.2e-05,58.3,581.99
densenet40,7,64,2,RS,1.269393,2.2e-05,50.42,628.96
densenet40,45,256,2,OS,1.075078,1.7e-05,59.53,588.19
densenet40,22,256,2,RS,1.089189,2.2e-05,58.76,588.05
densenet40,45,128,1,IMC,1.086548,0.000293,58.9,587.92
densenet40,7,64,1,RS,0.835076,2.2e-05,76.64,624.86
densenet40,45,256,1,OS,1.058813,1.7e-05,60.45,649.66
densenet40,45,256,2,IMC,1.048908,0.000293,61.02,625.84
densenet40,22,64,1,WS,0.926787,1.5e-05,69.06,630.39
densenet40,22,128,1,IMC,0.986416,0.000293,64.88,613.8
densenet40,7,128,2,IMC,1.002318,0.000293,63.85,645.89
densenet40,7,128,2,WS,1.129314,1.5e-05,56.67,595.93
densenet40,7,256,2,OS,1.084721,1.7e-05,59.0,594.78
densenet40,22,256,1,OS,1.100707,1.7e-05,58.14,608.47
densenet40,22,128,1,WS,0.971357,1.5e-05,65.89,639.9
densenet40,45,64,2,IMC,1.112491,0.000293,57.53,630.68
densenet40,22,64,2,IMC,0.886935,0.000293,72.16,582.17
densenet40,45,128,1,RS,1.01742,2.2e-05,62.9,613.89
densenet40,7,256,1,IMC,1.034797,0.000293,61.85,591.93
densenet40,7,128,1,OS,1.050912,1.7e-05,60.9,624.96
densenet40,45,256,1,WS,1.031876,1.5e-05,62.02,630.54
densenet40,45,128,2,WS,1.052718,1.5e-05,60.8,595.77
densenet40,45,128,2,RS,1.033231,2.2e-05,61.94,613.65
densenet40,45,256,2,WS,0.988272,1.5e-05,64.76,595.84
densenet40,45,256,1,RS,1.059496,2.2e-05,60.41,613.68
densenet40,45,64,2,RS,1.048961,2.2e-05,61.01,588.08
densenet40,7,64,2,IMC,1.039664,0.000293,61.56,596.21
densenet40,7,256,2,RS,1.036506,2.2e-05,61.75,630.61
densenet40,7,64,1,OS,1.061855,1.7e-05,60.27,618.82
densenet40,22,64,1,RS,1.033347,2.2e-05,61.93,585.12
densenet40,7,64,1,IMC,0.895968,0.000293,71.43,645.89
densenet40,22,128,1,OS,1.089773,1.7e-05,58.73,584.13
densenet40,22,256,1,IMC,1.146768,0.000293,55.81,618.76
densenet40,22,128,1,RS,1.088421,2.2e-05,58.8,584.09
densenet40,22,64,1,OS,0.971443,1.7e-05,65.88,595.91
densenet40,7,256,1,OS,1.06464,1.7e-05,60.11,587.82
densenet40,22,128,2,WS,1.04659,1.5e-05,61.15,613.79
densenet40,7,64,2,WS,1.027825,1.5e-05,62.27,594.84
densenet40,22,128,2,IMC,1.079285,0.000293,59.3,595.95
densenet40,7,256,1,WS,1.135385,1.5e-05,56.37,584.18
densenet40,45,64,1,RS,1.019359,2.2e-05,62.78,625.46
densenet40,22,128,2,OS,1.073606,1.7e-05,59.61,584.23
densenet40,22,64,1,IMC,1.090509,0.000293,58.69,583.89
densenet40,7,64,2,OS,1.088816,1.7e-05,58.78,645.62
densenet40,22,64,2,OS,0.904045,1.7e-05,70.79,630.83
densenet40,22,256,2,WS,1.065391,1.5e-05,60.07,630.38
densenet40,7,256,1,RS,1.041926,2.2e-05,61.42,584.09
densenet40,45,256,1,IMC,1.037337,0.000293,61.7,588.04
densenet40,7,256,2,WS,1.074132,1.5e-05,59.58,636.7
densenet40,22,128,2,RS,0.905143,2.2e-05,70.71,630.76
densenet40,22,256,1,WS,0.977757,1.5e-05,65.46,595.9
densenet40,45,64,2,OS,1.085083,1.7e-05,58.98,587.89
densenet40,7,128,2,OS,1.040267,1.7e-05,61.52,613.82
densenet40,45,128,1,OS,0.948614,1.7e-05,67.47,624.63
densenet40,45,64,1,WS,1.069591,1.5e-05,59.84,624.95
densenet40,7,64,1,WS,0.87481,1.5e-05,73.16,588.16
densenet40,7,256,2,IMC,1.080082,0.000293,59.25,630.59
densenet40,7,128,1,RS,1.035616,2.2e-05,61.8,584.26
densenet40,45,64,2,WS,1.131342,1.5e-05,56.57,584.27
densenet40,45,128,2,IMC,1.050373,0.000293,60.93,630.74
densenet40,45,128,1,WS,1.006835,1.5e-05,63.57,613.74
densenet40,45,64,1,OS,0.881649,1.7e-05,72.59,630.64
densenet40,7,128,1,IMC,0.894124,0.000293,71.58,613.91
densenet40,22,64,2,RS,1.336591,2.2e-05,47.88,584.37
densenet40,45,64,1,IMC,0.896488,0.000293,71.39,645.79
